DEBUG 2024-06-13 13:04:03,560 autoreload 30028 30268 File C:\Users\Hugo\AppData\Local\Programs\Python\Python312\Lib\ipaddress.py first seen with mtime 1707217818.0
DEBUG 2024-06-13 13:04:03,560 autoreload 30028 30268 File C:\Users\Hugo\AppData\Local\Programs\Python\Python312\Lib\site-packages\sqlparse\cli.py first seen with mtime 1716872752.545471
DEBUG 2024-06-13 13:04:03,561 autoreload 30028 30268 File C:\Users\Hugo\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\core\cache\utils.py first seen with mtime 1716872758.8308506
DEBUG 2024-06-13 13:04:03,561 autoreload 30028 30268 File C:\Users\Hugo\Documents\GitHub\P4SBonjour\P4SBonjour\bonjour_app\forms.py first seen with mtime 1716890402.8229215
DEBUG 2024-06-13 13:04:03,561 autoreload 30028 30268 File C:\Users\Hugo\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\contrib\contenttypes\forms.py first seen with mtime 1716872755.7201452
DEBUG 2024-06-13 13:04:03,561 autoreload 30028 30268 File C:\Users\Hugo\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\middleware\common.py first seen with mtime 1716872759.2899556
DEBUG 2024-06-13 13:04:03,561 autoreload 30028 30268 File C:\Users\Hugo\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\contrib\sessions\base_session.py first seen with mtime 1716872758.0896835
DEBUG 2024-06-13 13:04:03,562 autoreload 30028 30268 File C:\Users\Hugo\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\contrib\admin\templatetags\admin_list.py first seen with mtime 1716872754.9157076
DEBUG 2024-06-13 13:04:03,562 autoreload 30028 30268 File C:\Users\Hugo\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\contrib\sessions\apps.py first seen with mtime 1716872758.0886853
DEBUG 2024-06-13 13:04:03,562 autoreload 30028 30268 File C:\Users\Hugo\Documents\GitHub\P4SBonjour\P4SBonjour\accounts\admin.py first seen with mtime 1716885319.3030474
DEBUG 2024-06-13 13:04:03,562 autoreload 30028 30268 File C:\Users\Hugo\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\contrib\auth\decorators.py first seen with mtime 1716872755.3098135
DEBUG 2024-06-13 13:04:03,562 autoreload 30028 30268 File C:\Users\Hugo\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\forms\models.py first seen with mtime 1716872759.155927
DEBUG 2024-06-13 13:04:03,563 autoreload 30028 30268 File C:\Users\Hugo\AppData\Local\Programs\Python\Python312\Lib\weakref.py first seen with mtime 1707217818.0
DEBUG 2024-06-13 13:04:03,563 autoreload 30028 30268 File C:\Users\Hugo\AppData\Local\Programs\Python\Python312\DLLs\_ctypes.pyd first seen with mtime 1707217854.0
DEBUG 2024-06-13 13:04:03,563 autoreload 30028 30268 File C:\Users\Hugo\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\db\backends\__init__.py first seen with mtime 1716872758.9758825
DEBUG 2024-06-13 13:04:03,563 autoreload 30028 30268 File C:\Users\Hugo\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\contrib\admin\views\__init__.py first seen with mtime 1716872754.92371
DEBUG 2024-06-13 13:04:03,563 autoreload 30028 30268 File C:\Users\Hugo\Documents\GitHub\P4SBonjour\P4SBonjour\accounts\models.py first seen with mtime 1716885319.314051
DEBUG 2024-06-13 13:04:03,564 autoreload 30028 30268 File C:\Users\Hugo\AppData\Local\Programs\Python\Python312\Lib\email\mime\nonmultipart.py first seen with mtime 1707217818.0
DEBUG 2024-06-13 13:04:03,564 autoreload 30028 30268 File C:\Users\Hugo\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\templatetags\i18n.py first seen with mtime 1716872759.3349807
DEBUG 2024-06-13 13:04:03,564 autoreload 30028 30268 File C:\Users\Hugo\Documents\GitHub\P4SBonjour\P4SBonjour\settings.py first seen with mtime 1718247809.2667913
DEBUG 2024-06-13 13:04:03,564 autoreload 30028 30268 File C:\Users\Hugo\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\db\migrations\operations\base.py first seen with mtime 1716872759.0769055
DEBUG 2024-06-13 13:04:03,564 autoreload 30028 30268 File C:\Users\Hugo\AppData\Local\Programs\Python\Python312\Lib\logging\handlers.py first seen with mtime 1707217818.0
DEBUG 2024-06-13 13:04:03,564 autoreload 30028 30268 File C:\Users\Hugo\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\apps\__init__.py first seen with mtime 1716872753.3194764
DEBUG 2024-06-13 13:04:03,565 autoreload 30028 30268 File C:\Users\Hugo\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\db\models\enums.py first seen with mtime 1716872759.0919118
DEBUG 2024-06-13 13:04:03,565 autoreload 30028 30268 File C:\Users\Hugo\AppData\Local\Programs\Python\Python312\DLLs\_socket.pyd first seen with mtime 1707217852.0
DEBUG 2024-06-13 13:04:03,565 autoreload 30028 30268 File C:\Users\Hugo\AppData\Local\Programs\Python\Python312\Lib\asyncio\coroutines.py first seen with mtime 1707217818.0
DEBUG 2024-06-13 13:04:03,565 autoreload 30028 30268 File C:\Users\Hugo\AppData\Local\Programs\Python\Python312\Lib\ctypes\__init__.py first seen with mtime 1707217818.0
DEBUG 2024-06-13 13:04:03,565 autoreload 30028 30268 File C:\Users\Hugo\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\forms\boundfield.py first seen with mtime 1716872759.148925
DEBUG 2024-06-13 13:04:03,566 autoreload 30028 30268 File C:\Users\Hugo\AppData\Local\Programs\Python\Python312\Lib\fractions.py first seen with mtime 1707217818.0
DEBUG 2024-06-13 13:04:03,566 autoreload 30028 30268 File C:\Users\Hugo\AppData\Local\Programs\Python\Python312\Lib\asyncio\subprocess.py first seen with mtime 1707217818.0
DEBUG 2024-06-13 13:04:03,566 autoreload 30028 30268 File C:\Users\Hugo\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\contrib\sessions\exceptions.py first seen with mtime 1716872758.0906844
DEBUG 2024-06-13 13:04:03,566 autoreload 30028 30268 File C:\Users\Hugo\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\core\files\images.py first seen with mtime 1716872758.8688672
DEBUG 2024-06-13 13:04:03,567 autoreload 30028 30268 File C:\Users\Hugo\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\db\backends\sqlite3\base.py first seen with mtime 1716872759.0438995
DEBUG 2024-06-13 13:04:03,567 autoreload 30028 30268 File C:\Users\Hugo\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\db\utils.py first seen with mtime 1716872758.9748852
DEBUG 2024-06-13 13:04:03,567 autoreload 30028 30268 File C:\Users\Hugo\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\templatetags\l10n.py first seen with mtime 1716872759.3359654
DEBUG 2024-06-13 13:04:03,567 autoreload 30028 30268 File C:\Users\Hugo\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\utils\numberformat.py first seen with mtime 1716872759.4039795
DEBUG 2024-06-13 13:04:03,567 autoreload 30028 30268 File C:\Users\Hugo\AppData\Local\Programs\Python\Python312\Lib\encodings\utf_8.py first seen with mtime 1707217818.0
DEBUG 2024-06-13 13:04:03,568 autoreload 30028 30268 File C:\Users\Hugo\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\db\models\constants.py first seen with mtime 1716872759.0879078
DEBUG 2024-06-13 13:04:03,568 autoreload 30028 30268 File C:\Users\Hugo\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\forms\utils.py first seen with mtime 1716872759.1589358
DEBUG 2024-06-13 13:04:03,568 autoreload 30028 30268 File C:\Users\Hugo\AppData\Local\Programs\Python\Python312\Lib\statistics.py first seen with mtime 1707217818.0
DEBUG 2024-06-13 13:04:03,568 autoreload 30028 30268 File C:\Users\Hugo\AppData\Local\Programs\Python\Python312\Lib\asyncio\base_tasks.py first seen with mtime 1707217818.0
DEBUG 2024-06-13 13:04:03,568 autoreload 30028 30268 File C:\Users\Hugo\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\db\models\indexes.py first seen with mtime 1716872759.094914
DEBUG 2024-06-13 13:04:03,568 autoreload 30028 30268 File C:\Users\Hugo\AppData\Local\Programs\Python\Python312\Lib\dataclasses.py first seen with mtime 1707217818.0
DEBUG 2024-06-13 13:04:03,569 autoreload 30028 30268 File C:\Users\Hugo\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\middleware\csrf.py first seen with mtime 1716872759.2909558
DEBUG 2024-06-13 13:04:03,569 autoreload 30028 30268 File C:\Users\Hugo\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\views\generic\__init__.py first seen with mtime 1716872759.4449897
DEBUG 2024-06-13 13:04:03,569 autoreload 30028 30268 File C:\Users\Hugo\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\template\engine.py first seen with mtime 1716872759.3079584
DEBUG 2024-06-13 13:04:03,569 autoreload 30028 30268 File C:\Users\Hugo\AppData\Local\Programs\Python\Python312\Lib\asyncio\tasks.py first seen with mtime 1707217818.0
DEBUG 2024-06-13 13:04:03,569 autoreload 30028 30268 File C:\Users\Hugo\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\db\models\functions\__init__.py first seen with mtime 1716872759.1219184
DEBUG 2024-06-13 13:04:03,569 autoreload 30028 30268 File C:\Users\Hugo\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\core\cache\backends\filebased.py first seen with mtime 1716872758.8378558
DEBUG 2024-06-13 13:04:03,570 autoreload 30028 30268 File C:\Users\Hugo\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\utils\asyncio.py first seen with mtime 1716872759.3689716
DEBUG 2024-06-13 13:04:03,570 autoreload 30028 30268 File C:\Users\Hugo\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\utils\timezone.py first seen with mtime 1716872759.4119837
DEBUG 2024-06-13 13:04:03,570 autoreload 30028 30268 File C:\Users\Hugo\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\http\response.py first seen with mtime 1716872759.2849536
DEBUG 2024-06-13 13:04:03,570 autoreload 30028 30268 File C:\Users\Hugo\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\utils\hashable.py first seen with mtime 1716872759.3919792
DEBUG 2024-06-13 13:04:03,570 autoreload 30028 30268 File C:\Users\Hugo\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\utils\encoding.py first seen with mtime 1716872759.385978
DEBUG 2024-06-13 13:04:03,571 autoreload 30028 30268 File C:\Users\Hugo\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\core\cache\backends\__init__.py first seen with mtime 1716872758.83185
DEBUG 2024-06-13 13:04:03,571 autoreload 30028 30268 File C:\Users\Hugo\AppData\Local\Programs\Python\Python312\Lib\http\server.py first seen with mtime 1707217818.0
DEBUG 2024-06-13 13:04:03,571 autoreload 30028 30268 File C:\Users\Hugo\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\contrib\auth\management\__init__.py first seen with mtime 1716872755.6841364
DEBUG 2024-06-13 13:04:03,571 autoreload 30028 30268 File C:\Users\Hugo\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\utils\decorators.py first seen with mtime 1716872759.3829758
DEBUG 2024-06-13 13:04:03,571 autoreload 30028 30268 File C:\Users\Hugo\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\core\checks\security\sessions.py first seen with mtime 1716872758.8648596
DEBUG 2024-06-13 13:04:03,572 autoreload 30028 30268 File C:\Users\Hugo\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\views\csrf.py first seen with mtime 1716872759.425988
DEBUG 2024-06-13 13:04:03,572 autoreload 30028 30268 File C:\Users\Hugo\AppData\Local\Programs\Python\Python312\Lib\email\mime\base.py first seen with mtime 1707217818.0
DEBUG 2024-06-13 13:04:03,572 autoreload 30028 30268 File C:\Users\Hugo\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\core\signals.py first seen with mtime 1716872758.82285
DEBUG 2024-06-13 13:04:03,572 autoreload 30028 30268 File C:\Users\Hugo\AppData\Local\Programs\Python\Python312\Lib\asyncio\log.py first seen with mtime 1707217818.0
DEBUG 2024-06-13 13:04:03,572 autoreload 30028 30268 File C:\Users\Hugo\AppData\Local\Programs\Python\Python312\Lib\ctypes\wintypes.py first seen with mtime 1707217818.0
DEBUG 2024-06-13 13:04:03,573 autoreload 30028 30268 File C:\Users\Hugo\AppData\Local\Programs\Python\Python312\Lib\asyncio\base_events.py first seen with mtime 1707217818.0
DEBUG 2024-06-13 13:04:03,573 autoreload 30028 30268 File C:\Users\Hugo\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\views\generic\dates.py first seen with mtime 1716872759.4469895
DEBUG 2024-06-13 13:04:03,573 autoreload 30028 30268 File C:\Users\Hugo\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\core\checks\async_checks.py first seen with mtime 1716872758.8448558
DEBUG 2024-06-13 13:04:03,573 autoreload 30028 30268 File C:\Users\Hugo\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\contrib\auth\password_validation.py first seen with mtime 1716872755.3187983
DEBUG 2024-06-13 13:04:03,573 autoreload 30028 30268 File C:\Users\Hugo\AppData\Local\Programs\Python\Python312\Lib\dis.py first seen with mtime 1707217818.0
DEBUG 2024-06-13 13:04:03,573 autoreload 30028 30268 File C:\Users\Hugo\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\utils\dateparse.py first seen with mtime 1716872759.3789759
DEBUG 2024-06-13 13:04:03,574 autoreload 30028 30268 File C:\Users\Hugo\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\db\models\fields\json.py first seen with mtime 1716872759.1119163
DEBUG 2024-06-13 13:04:03,574 autoreload 30028 30268 File C:\Users\Hugo\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\db\transaction.py first seen with mtime 1716872758.973899
DEBUG 2024-06-13 13:04:03,574 autoreload 30028 30268 File C:\Users\Hugo\AppData\Local\Programs\Python\Python312\Lib\copyreg.py first seen with mtime 1707217818.0
DEBUG 2024-06-13 13:04:03,574 autoreload 30028 30268 File C:\Users\Hugo\Documents\GitHub\P4SBonjour\P4SBonjour\bonjour_app\apps.py first seen with mtime 1716783736.0287118
DEBUG 2024-06-13 13:04:03,574 autoreload 30028 30268 File C:\Users\Hugo\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\template\response.py first seen with mtime 1716872759.313961
DEBUG 2024-06-13 13:04:03,574 autoreload 30028 30268 File C:\Users\Hugo\AppData\Local\Programs\Python\Python312\Lib\zoneinfo\__init__.py first seen with mtime 1707217818.0
DEBUG 2024-06-13 13:04:03,575 autoreload 30028 30268 File C:\Users\Hugo\AppData\Local\Programs\Python\Python312\Lib\queue.py first seen with mtime 1707217818.0
DEBUG 2024-06-13 13:04:03,575 autoreload 30028 30268 File C:\Users\Hugo\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\db\models\fields\files.py first seen with mtime 1716872759.1089158
DEBUG 2024-06-13 13:04:03,575 autoreload 30028 30268 File C:\Users\Hugo\Documents\GitHub\P4SBonjour\P4SBonjour\bonjour_app\models.py first seen with mtime 1716783736.0307128
DEBUG 2024-06-13 13:04:03,575 autoreload 30028 30268 File C:\Users\Hugo\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\utils\translation\reloader.py first seen with mtime 1716872759.4199865
DEBUG 2024-06-13 13:04:03,575 autoreload 30028 30268 File C:\Users\Hugo\AppData\Local\Programs\Python\Python312\Lib\opcode.py first seen with mtime 1707217818.0
DEBUG 2024-06-13 13:04:03,576 autoreload 30028 30268 File C:\Users\Hugo\AppData\Local\Programs\Python\Python312\Lib\site-packages\sqlparse\filters\output.py first seen with mtime 1716872752.5694764
DEBUG 2024-06-13 13:04:03,576 autoreload 30028 30268 File C:\Users\Hugo\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\views\decorators\cache.py first seen with mtime 1716872759.4339893
DEBUG 2024-06-13 13:04:03,576 autoreload 30028 30268 File C:\Users\Hugo\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\utils\choices.py first seen with mtime 1716872759.3729894
DEBUG 2024-06-13 13:04:03,576 autoreload 30028 30268 File C:\Users\Hugo\AppData\Local\Programs\Python\Python312\Lib\multiprocessing\reduction.py first seen with mtime 1707217818.0
DEBUG 2024-06-13 13:04:03,576 autoreload 30028 30268 File C:\Users\Hugo\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\db\backends\base\validation.py first seen with mtime 1716872758.9928892
DEBUG 2024-06-13 13:04:03,576 autoreload 30028 30268 File C:\Users\Hugo\AppData\Local\Programs\Python\Python312\Lib\gzip.py first seen with mtime 1707217818.0
